             pitch        yaw    tick            steamid  name
2041336  -4.620087 -12.005646  204137  76561198386265483  donk
2041346  -4.620087 -12.088043  204138  76561198386265483  donk
2041356  -4.620087 -12.198257  204139  76561198386265483  donk
2041366  -4.620087 -12.308121  204140  76561198386265483  donk
2041376  -4.620087 -12.472916  204141  76561198386265483  donk
2041386  -4.620087 -12.638062  204142  76561198386265483  donk
2041396  -4.620087 -12.803192  204143  76561198386265483  donk
2041406  -4.620087 -12.913055  204144  76561198386265483  donk
2041416  -4.620087 -13.050720  204145  76561198386265483  donk
2041426  -4.620087 -13.215515  204146  76561198386265483  donk
2041436  -4.620087 -13.435593  204147  76561198386265483  donk
2041446  -4.620087 -13.572922  204148  76561198386265483  donk
2041456  -4.592621 -13.710602  204149  76561198386265483  donk
2041466  -4.592621 -13.875732  204150  76561198386265483  donk
2041476  -4.565155 -14.013062  204151  76561198386265483  donk
2041486  -4.565155 -14.205658  204152  76561198386265483  donk
2041496  -4.537689 -14.370453  204153  76561198386265483  donk
2041506  -4.537689 -14.508133  204154  76561198386265483  donk
2041516  -4.537689 -14.672928  204155  76561198386265483  donk
2041526  -4.510223 -14.838074  204156  76561198386265483  donk
2041536  -4.510223 -14.975739  204157  76561198386265483  donk
2041546  -4.510223 -15.113068  204158  76561198386265483  donk
2041556  -4.510223 -15.278198  204159  76561198386265483  donk
2041566  -4.482422 -15.442993  204160  76561198386265483  donk
2041576  -4.482422 -15.663071  204161  76561198386265483  donk
2041586  -4.482422 -15.828217  204162  76561198386265483  donk
2041596  -4.482422 -15.938080  204163  76561198386265483  donk
2041606  -4.482422 -16.048279  204164  76561198386265483  donk
2041616  -4.482422 -16.158142  204165  76561198386265483  donk
2041626  -4.482422 -16.268005  204166  76561198386265483  donk
2041636  -4.482422 -16.405670  204167  76561198386265483  donk
2041646  -4.482422 -16.542999  204168  76561198386265483  donk
2041656  -4.482422 -16.680679  204169  76561198386265483  donk
2041666  -4.482422 -16.872940  204170  76561198386265483  donk
2041676  -4.482422 -17.010620  204171  76561198386265483  donk
2041686  -4.482422 -17.148285  204172  76561198386265483  donk
2041696  -4.482422 -17.313080  204173  76561198386265483  donk
2041706  -4.482422 -17.450745  204174  76561198386265483  donk
2041716  -4.482422 -17.588074  204175  76561198386265483  donk
2041726  -4.482422 -17.725754  204176  76561198386265483  donk
2041736  -4.482422 -17.835617  204177  76561198386265483  donk
2041746  -4.482422 -17.890549  204178  76561198386265483  donk
2041756  -4.510223 -17.918015  204179  76561198386265483  donk
2041766  -4.510223 -17.918015  204180  76561198386265483  donk
2041776  -4.510223 -17.918015  204181  76561198386265483  donk
2041786  -4.510223 -17.945480  204182  76561198386265483  donk
2041796  -4.510223 -17.945480  204183  76561198386265483  donk
2041806  -4.510223 -17.945480  204184  76561198386265483  donk
2041816  -4.510223 -17.945480  204185  76561198386265483  donk
2041826  -4.510223 -17.945480  204186  76561198386265483  donk
2041836  -4.510223 -17.945480  204187  76561198386265483  donk
2041846  -4.510223 -17.945480  204188  76561198386265483  donk
2041856  -4.510223 -17.945480  204189  76561198386265483  donk
2041866  -4.510223 -17.945480  204190  76561198386265483  donk
2041876  -4.510223 -17.945480  204191  76561198386265483  donk
2041886  -4.510223 -17.945480  204192  76561198386265483  donk
2041896  -4.510223 -17.945480  204193  76561198386265483  donk
2041906  -4.510223 -17.945480  204194  76561198386265483  donk
2041916  -4.510223 -17.945480  204195  76561198386265483  donk
2041926  -4.510223 -17.945480  204196  76561198386265483  donk
2041936  -4.510223 -17.945480  204197  76561198386265483  donk
2041946  -4.510223 -17.945480  204198  76561198386265483  donk
2041956  -4.510223 -17.945480  204199  76561198386265483  donk
2041966  -4.510223 -17.945480  204200  76561198386265483  donk
2041976  -4.510223 -17.945480  204201  76561198386265483  donk
2041986  -4.510223 -17.945480  204202  76561198386265483  donk
2041996  -4.510223 -17.945480  204203  76561198386265483  donk
2042006  -4.510223 -17.945480  204204  76561198386265483  donk
2042016  -4.510223 -17.945480  204205  76561198386265483  donk
2042026  -4.510223 -17.945480  204206  76561198386265483  donk
2042036  -4.510223 -17.945480  204207  76561198386265483  donk
2042046  -4.510223 -17.945480  204208  76561198386265483  donk
2042056  -4.510223 -17.945480  204209  76561198386265483  donk
2042066  -4.510223 -17.945480  204210  76561198386265483  donk
2042076  -4.510223 -17.945480  204211  76561198386265483  donk
2042086  -4.510223 -17.945480  204212  76561198386265483  donk
2042096  -4.510223 -17.945480  204213  76561198386265483  donk
2042106  -4.510223 -17.945480  204214  76561198386265483  donk
2042116  -4.510223 -17.945480  204215  76561198386265483  donk
2042126  -4.510223 -17.945480  204216  76561198386265483  donk
2042136  -4.510223 -17.945480  204217  76561198386265483  donk
2042146  -4.510223 -17.945480  204218  76561198386265483  donk
2042156  -4.537689 -18.000763  204219  76561198386265483  donk
2042166  -4.620087 -18.165558  204220  76561198386265483  donk
2042176  -4.620087 -18.165558  204221  76561198386265483  donk
2042186  -4.620087 -18.165558  204222  76561198386265483  donk
2042196  -4.620087 -18.165558  204223  76561198386265483  donk
2042206  -4.620087 -18.165558  204224  76561198386265483  donk
2042216  -4.620087 -18.165558  204225  76561198386265483  donk
2042226  -4.620087 -18.165558  204226  76561198386265483  donk
2042236  -4.620087 -18.165558  204227  76561198386265483  donk
2042246  -4.620087 -18.165558  204228  76561198386265483  donk
2042256  -4.620087 -18.165558  204229  76561198386265483  donk
2042266  -4.620087 -18.165558  204230  76561198386265483  donk
2042276  -4.620087 -18.165558  204231  76561198386265483  donk
2042286  -4.620087 -18.165558  204232  76561198386265483  donk
2042296  -4.620087 -18.165558  204233  76561198386265483  donk
2042306  -4.620087 -18.165558  204234  76561198386265483  donk
2042316  -4.702484 -18.220490  204235  76561198386265483  donk
2042326  -4.729950 -18.440552  204236  76561198386265483  donk
2042336  -4.757416 -18.825760  204237  76561198386265483  donk
2042346  -4.757416 -19.265564  204238  76561198386265483  donk
2042356  -4.757416 -19.733154  204239  76561198386265483  donk
2042366  -4.812698 -20.200775  204240  76561198386265483  donk
2042376  -4.840164 -20.420502  204241  76561198386265483  donk
2042386  -4.840164 -20.475769  204242  76561198386265483  donk
2042396  -4.840164 -20.475769  204243  76561198386265483  donk
2042406  -4.840164 -20.475769  204244  76561198386265483  donk
2042416  -4.840164 -20.475769  204245  76561198386265483  donk
2042426  -4.840164 -20.475769  204246  76561198386265483  donk
2042436  -4.840164 -20.475769  204247  76561198386265483  donk
2042446  -4.840164 -20.475769  204248  76561198386265483  donk
2042456  -4.840164 -20.475769  204249  76561198386265483  donk
2042466  -4.840164 -20.475769  204250  76561198386265483  donk
2042476  -4.840164 -20.475769  204251  76561198386265483  donk
2042486  -4.840164 -20.475769  204252  76561198386265483  donk
2042496  -4.840164 -20.475769  204253  76561198386265483  donk
2042506  -4.840164 -20.475769  204254  76561198386265483  donk
2042516  -4.840164 -20.475769  204255  76561198386265483  donk
2042526  -4.840164 -20.475769  204256  76561198386265483  donk
2042536  -4.840164 -20.475769  204257  76561198386265483  donk
2042546  -4.840164 -20.475769  204258  76561198386265483  donk
2042556  -4.840164 -20.475769  204259  76561198386265483  donk
2042566  -4.840164 -20.475769  204260  76561198386265483  donk
2042576  -4.840164 -20.475769  204261  76561198386265483  donk
2042586  -4.840164 -20.475769  204262  76561198386265483  donk
2042596  -4.840164 -20.475769  204263  76561198386265483  donk
2042606  -4.840164 -20.475769  204264  76561198386265483  donk
2042616  -4.895096 -20.448303  204265  76561198386265483  donk
2042626  -5.060242 -20.228241  204266  76561198386265483  donk
2042636  -5.335236 -19.678223  204267  76561198386265483  donk
2042646  -5.665161 -18.963089  204268  76561198386265483  donk
2042656  -6.022568 -17.890549  204269  76561198386265483  donk
2042666  -6.187714 -17.175751  204270  76561198386265483  donk
2042676  -6.215179 -16.735611  204271  76561198386265483  donk
2042686  -6.215179 -16.735611  204272  76561198386265483  donk
2042696  -6.215179 -16.735611  204273  76561198386265483  donk
